"tweet_id"	"author"	"entity_id"	"filtering"	"polarity"	"topic"	"topic_priority"
"138316250362298368"	"Mamzelle514"	"RL2013D01E040"	"UNRELATED"	""	""	""
"200694724162621441"	"JHarden13"	"RL2013D01E040"	"RELATED"	"POSITIVE"	"Kia & NBA"	"MILDLY_IMPORTANT"
"206268744912211969"	"whoever2128"	"RL2013D01E040"	"UNRELATED"	""	""	""
"208303488587935744"	"Aaron_Kiser"	"RL2013D01E040"	"RELATED"	"NEUTRAL"	"Other topics - Products & Services"	"UNIMPORTANT"
"208306810623492096"	"LoveAlways_Kia"	"RL2013D01E040"	"UNRELATED"	""	""	""
"208320178432385024"	"Sami_HA"	"RL2013D01E040"	"RELATED"	"POSITIVE"	"Reviews"	"MILDLY_IMPORTANT"
"208321130820411392"	"XIApk"	"RL2013D01E040"	"UNRELATED"	""	""	""
"208324557537415168"	"centralmotorsus"	"RL2013D01E040"	"RELATED"	"POSITIVE"	"Reviews"	"MILDLY_IMPORTANT"
"208326512120832000"	"Rare_Bottoms"	"RL2013D01E040"	"UNRELATED"	""	""	""
"208327575150399489"	"Biggie_ben55"	"RL2013D01E040"	"UNRELATED"	""	""	""
"208334011523792896"	"sell_your_car"	"RL2013D01E040"	"RELATED"	"NEUTRAL"	"Kia for sale / Shops / Dealers"	"UNIMPORTANT"
"208335086666514433"	"Kia_GoBigMoney"	"RL2013D01E040"	"UNRELATED"	""	""	""
"208341779253166080"	"NooLoveForEm_"	"RL2013D01E040"	"UNRELATED"	""	""	""
"208342068781780992"	"ParamountKia"	"RL2013D01E040"	"RELATED"	"NEUTRAL"	"Kia for sale / Shops / Dealers"	"UNIMPORTANT"
"208345814303641600"	"da1Chynadoll"	"RL2013D01E040"	"UNRELATED"	""	""	""
"208408229741461507"	"maiseyrika"	"RL2013D01E040"	"UNRELATED"	""	""	""
"208409160876957696"	"MyMind_Wonders"	"RL2013D01E040"	"UNRELATED"	""	""	""
"208414831571771392"	"Alex_TheeGreat_"	"RL2013D01E040"	"UNRELATED"	""	""	""
"208423094321295360"	"awescar"	"RL2013D01E040"	"RELATED"	"POSITIVE"	"Kia Soul"	"MILDLY_IMPORTANT"
"208427049579331584"	"EyeAnnuh"	"RL2013D01E040"	"UNRELATED"	""	""	""
"208429478081335297"	"jjnado"	"RL2013D01E040"	"RELATED"	"NEUTRAL"	"Other topics - Products & Services"	"UNIMPORTANT"
"208429553574617090"	"Tynekia05"	"RL2013D01E040"	"UNRELATED"	""	""	""
"208440152589209600"	"Aneeq23WP"	"RL2013D01E040"	"UNRELATED"	""	""	""
"208443285721718784"	"SpencerBoii318"	"RL2013D01E040"	"UNRELATED"	""	""	""
"208447706534903808"	"YoungTae202"	"RL2013D01E040"	"UNRELATED"	""	""	""
"208450449576181760"	"FurlingBird"	"RL2013D01E040"	"UNRELATED"	""	""	""
"208450839671615488"	"DNTfw__hxenikka"	"RL2013D01E040"	"UNRELATED"	""	""	""
"208451854688993280"	"DinAngraini"	"RL2013D01E040"	"UNRELATED"	""	""	""
"208454845240311808"	"JimClickAuto"	"RL2013D01E040"	"RELATED"	"NEUTRAL"	"Kia for sale / Shops / Dealers"	"UNIMPORTANT"
"208471920239316992"	"JovanHeer"	"RL2013D01E040"	"RELATED"	"NEUTRAL"	"Kia Forte"	"MILDLY_IMPORTANT"
"208508150616293377"	"nyceboyy"	"RL2013D01E040"	"UNRELATED"	""	""	""
"208511124386222080"	"KiaOwners"	"RL2013D01E040"	"RELATED"	"POSITIVE"	"I am at"	"UNIMPORTANT"
"208512667906879488"	"kccars"	"RL2013D01E040"	"RELATED"	"NEUTRAL"	"Kia for sale / Shops / Dealers"	"UNIMPORTANT"
"208515712963182593"	"StephenNg3"	"RL2013D01E040"	"UNRELATED"	""	""	""
"208519034847772673"	"rockmir10"	"RL2013D01E040"	"RELATED"	"NEUTRAL"	"Recent acquisitions"	"MILDLY_IMPORTANT"
"208533207392583680"	"huntlya"	"RL2013D01E040"	"UNRELATED"	""	""	""
"208553298112950273"	"Lunchalicious"	"RL2013D01E040"	"UNRELATED"	""	""	""
"208565526723706880"	"thenextgear"	"RL2013D01E040"	"RELATED"	"POSITIVE"	"Surveys / Rankings results"	"MILDLY_IMPORTANT"
"208578153575235584"	"kmogaswa"	"RL2013D01E040"	"RELATED"	"NEUTRAL"	"I am at"	"UNIMPORTANT"
"208583799083245571"	"xxSHORTDAWGKIAX"	"RL2013D01E040"	"UNRELATED"	""	""	""
"208589750834184192"	"areuokeyannie"	"RL2013D01E040"	"RELATED"	"NEUTRAL"	"Crime - a Kia involved"	"UNIMPORTANT"
"208594163212619776"	"CarGuyNick"	"RL2013D01E040"	"RELATED"	"POSITIVE"	"Kia racings"	"UNIMPORTANT"
"208594876269473792"	"MISSY_LOU"	"RL2013D01E040"	"UNRELATED"	""	""	""
"208595782255902722"	"KIA_NoOptima"	"RL2013D01E040"	"UNRELATED"	""	""	""
"208601334780399616"	"latimeslakers"	"RL2013D01E040"	"UNRELATED"	""	""	""
"208601796858478593"	"RamzanAbid"	"RL2013D01E040"	"UNRELATED"	""	""	""
"208601884917891073"	"GlamourStar"	"RL2013D01E040"	"RELATED"	"NEUTRAL"	"Other topics - Undefined"	"UNIMPORTANT"
"208607094256054273"	"DA_POLO_KING"	"RL2013D01E040"	"RELATED"	"NEUTRAL"	"I work at"	"UNIMPORTANT"
"208607710818746369"	"SuperiorCarTalk"	"RL2013D01E040"	"RELATED"	"POSITIVE"	"Output increases with new plant"	"MILDLY_IMPORTANT"
"208619761054126080"	"BossyJohnson"	"RL2013D01E040"	"UNRELATED"	""	""	""
"208624576106737664"	"IKarinaLombard"	"RL2013D01E040"	"UNRELATED"	""	""	""
"208630766899441664"	"CAVYKINGPEN"	"RL2013D01E040"	"UNRELATED"	""	""	""
"208639646245203969"	"LimeLogistics"	"RL2013D01E040"	"RELATED"	"POSITIVE"	"Kia sells 4mill. cars"	"MILDLY_IMPORTANT"
"208641869981302785"	"Salute_Me6"	"RL2013D01E040"	"UNRELATED"	""	""	""
"208647624327315456"	"Kia_Kelz"	"RL2013D01E040"	"UNRELATED"	""	""	""
"208649230238236672"	"magee333"	"RL2013D01E040"	"RELATED"	"NEGATIVE"	"Drive / Buy a Kia"	"MILDLY_IMPORTANT"
"208649240791097344"	"robertburnsAP"	"RL2013D01E040"	"UNRELATED"	""	""	""
"208651243504156673"	"Jaztbabes"	"RL2013D01E040"	"UNRELATED"	""	""	""
"208660219306315777"	"__TheBombBee"	"RL2013D01E040"	"UNRELATED"	""	""	""
"208662073184485376"	"albert_vc"	"RL2013D01E040"	"RELATED"	"POSITIVE"	"Kia Sorento"	"MILDLY_IMPORTANT"
"208663096615645185"	"Nicholas_Gomez"	"RL2013D01E040"	"RELATED"	"POSITIVE"	"Other topics - Products & Services"	"UNIMPORTANT"
"208664786903384065"	"pdacar"	"RL2013D01E040"	"RELATED"	"NEUTRAL"	"Reviews"	"MILDLY_IMPORTANT"
"208672911286996995"	"auto_liquidator"	"RL2013D01E040"	"RELATED"	"POSITIVE"	"Kia sells 4mill. cars"	"MILDLY_IMPORTANT"
"208674719006863360"	"prettykilla"	"RL2013D01E040"	"UNRELATED"	""	""	""
"208675843101294593"	"K1063sarnia"	"RL2013D01E040"	"RELATED"	"NEUTRAL"	"Other topics - Products & Services"	"UNIMPORTANT"
"208680758842368000"	"09_argueta"	"RL2013D01E040"	"RELATED"	"NEUTRAL"	"Other topics - Undefined"	"UNIMPORTANT"
"208683355087175681"	"SheppardRiley"	"RL2013D01E040"	"RELATED"	"NEGATIVE"	"Kia truck on the road"	"UNIMPORTANT"
"208685750038953985"	"rblr"	"RL2013D01E040"	"UNRELATED"	""	""	""
"208686198816911360"	"TyeTye_licious"	"RL2013D01E040"	"UNRELATED"	""	""	""
"208686349832814593"	"OGphilly_"	"RL2013D01E040"	"UNRELATED"	""	""	""
"208687746548633600"	"phathead"	"RL2013D01E040"	"RELATED"	"POSITIVE"	"Kia vs. other brands"	"MILDLY_IMPORTANT"
"208688782541725696"	"KiaOwners"	"RL2013D01E040"	"RELATED"	"NEUTRAL"	"Other topics - Undefined"	"UNIMPORTANT"
"208690812580659200"	"Naija_Badt_Babe"	"RL2013D01E040"	"UNRELATED"	""	""	""
"208692226056925184"	"lizabethmu"	"RL2013D01E040"	"RELATED"	"POSITIVE"	"I want a Kia"	"MILDLY_IMPORTANT"
"208692514746671104"	"LoveChild_Kia"	"RL2013D01E040"	"UNRELATED"	""	""	""
"208692762919440384"	"jonatavferreira"	"RL2013D01E040"	"UNRELATED"	""	""	""
"208695338234675200"	"Naomi_Smell2Gud"	"RL2013D01E040"	"UNRELATED"	""	""	""
"208705077391802368"	"tinadegrace"	"RL2013D01E040"	"UNRELATED"	""	""	""
"208709681844199424"	"_2tall_4youHOES"	"RL2013D01E040"	"UNRELATED"	""	""	""
"208712300000051201"	"jessicaPochin"	"RL2013D01E040"	"UNRELATED"	""	""	""
"208714426487021570"	"jkid0711"	"RL2013D01E040"	"UNRELATED"	""	""	""
"208725960848179201"	"NillyAndretti"	"RL2013D01E040"	"RELATED"	"NEGATIVE"	"Commercials - Mr Sandman"	"MILDLY_IMPORTANT"
"208735967597694976"	"HonorThem"	"RL2013D01E040"	"UNRELATED"	""	""	""
"208736796622848000"	"HonorThem"	"RL2013D01E040"	"UNRELATED"	""	""	""
"208738812183068672"	"Dr_Internet"	"RL2013D01E040"	"RELATED"	"NEGATIVE"	"Commercials - Mr Sandman"	"MILDLY_IMPORTANT"
"208741785948790786"	"kaseycoxx"	"RL2013D01E040"	"UNRELATED"	""	""	""
"208743555932495872"	"I_Punch_Bitches"	"RL2013D01E040"	"UNRELATED"	""	""	""
"208757231964000260"	"bregotdaJUICE"	"RL2013D01E040"	"UNRELATED"	""	""	""
"208762384163147776"	"Im_Killin_Dem"	"RL2013D01E040"	"UNRELATED"	""	""	""
"208773696846958593"	"YungDre_615"	"RL2013D01E040"	"UNRELATED"	""	""	""
"208786845348270081"	"JLJ2Day"	"RL2013D01E040"	"UNRELATED"	""	""	""
"208789035731271680"	"Wadduuup_KiA"	"RL2013D01E040"	"UNRELATED"	""	""	""
"208790133670019073"	"calypsodeville"	"RL2013D01E040"	"UNRELATED"	""	""	""
"208793212301746176"	"Pimp_Lucius_103"	"RL2013D01E040"	"UNRELATED"	""	""	""
"208796349666304002"	"tuxboston"	"RL2013D01E040"	"RELATED"	"POSITIVE"	"Kia reputation growth"	"MILDLY_IMPORTANT"
"208807579135123456"	"Dimohh"	"RL2013D01E040"	"UNRELATED"	""	""	""
"208811109392719873"	"kay_bottoms21"	"RL2013D01E040"	"UNRELATED"	""	""	""
"208831577600442368"	"fans_grizzlies"	"RL2013D01E040"	"RELATED"	"POSITIVE"	"Kia & NBA"	"MILDLY_IMPORTANT"
"208861269070061568"	"beckymillinson"	"RL2013D01E040"	"UNRELATED"	""	""	""
"208897713373327361"	"Keepit100cooper"	"RL2013D01E040"	"UNRELATED"	""	""	""
"208923596444286979"	"kia_biitchie"	"RL2013D01E040"	"UNRELATED"	""	""	""
"208926175945428992"	"619Cecy"	"RL2013D01E040"	"UNRELATED"	""	""	""
"208928516371251200"	"begomtez"	"RL2013D01E040"	"UNRELATED"	""	""	""
"208928759619928066"	"xBelleMikia"	"RL2013D01E040"	"UNRELATED"	""	""	""
"208946648326488065"	"takairam"	"RL2013D01E040"	"UNRELATED"	""	""	""
"208946719659008002"	"AuctionDirect01"	"RL2013D01E040"	"RELATED"	"NEUTRAL"	"Kia for sale / Shops / Dealers"	"UNIMPORTANT"
"208947063579348992"	"macKIAvelli_"	"RL2013D01E040"	"UNRELATED"	""	""	""
"208949802468257792"	"alyssa_sillyy"	"RL2013D01E040"	"RELATED"	"POSITIVE"	"I want a Kia"	"MILDLY_IMPORTANT"
"208953707352690688"	"mmtja5"	"RL2013D01E040"	"RELATED"	"NEUTRAL"	"Other topics - Undefined"	"UNIMPORTANT"
"208961265501089792"	"Team_MalcolmX"	"RL2013D01E040"	"UNRELATED"	""	""	""
"208963572368281601"	"SuN_DuN"	"RL2013D01E040"	"UNRELATED"	""	""	""
"208964318950195201"	"Red3ENT"	"RL2013D01E040"	"UNRELATED"	""	""	""
"208973936464113665"	"Lorthrax_trill"	"RL2013D01E040"	"UNRELATED"	""	""	""
"208979397456310272"	"_MajorX"	"RL2013D01E040"	"UNRELATED"	""	""	""
"208980266369290240"	"youAint_Kia"	"RL2013D01E040"	"UNRELATED"	""	""	""
"208982136341016576"	"Lecy_242"	"RL2013D01E040"	"UNRELATED"	""	""	""
"208982198836137984"	"FreshKicks_x2"	"RL2013D01E040"	"UNRELATED"	""	""	""
"208982232810012672"	"BOUT_WATEVA"	"RL2013D01E040"	"UNRELATED"	""	""	""
"208988394259349504"	"ThatBitch_Kia"	"RL2013D01E040"	"UNRELATED"	""	""	""
"208995381961437186"	"BS1878mutd"	"RL2013D01E040"	"UNRELATED"	""	""	""
"209011030918049792"	"HunterFaircloth"	"RL2013D01E040"	"RELATED"	"POSITIVE"	"Kia Forte"	"MILDLY_IMPORTANT"
"209011194470735872"	"90Soccer"	"RL2013D01E040"	"RELATED"	"POSITIVE"	"Kia Canada acquires naming rights"	"MILDLY_IMPORTANT"
"209015535575371776"	"marinagellert"	"RL2013D01E040"	"UNRELATED"	""	""	""
